chem_diff,goal_diff,team_1,team_2,date,rank_diff
18107,1,479,656,2010-06-19,-120
8857,1,207,215,2010-06-16,154
12751,1,459,205,2018-07-06,-133
18818,1,482,653,2006-06-11,169
28175,1,459,627,2018-07-02,777
23027,1,449,628,2014-06-18,455
23363,1,466,210,2006-06-15,56
27304,1,202,657,2018-06-26,623
35660,1,449,205,2010-07-02,-380
41526,1,448,210,2006-06-10,88
42775,1,202,469,2014-06-21,534
43116,1,449,468,2010-06-28,454
57174,1,164,207,2010-06-25,677
66213,1,481,624,2014-06-30,442
8851,1,478,205,2006-07-01,-78
66463,1,164,469,2018-06-20,418
20622,1,482,2869,2018-06-20,588
7519,1,660,624,2010-06-23,136
13445,1,449,446,2006-06-11,158
4837,1,469,2869,2018-06-15,22
6059,1,459,454,2014-06-22,181
-37735,1,654,471,2018-06-19,-345
-32986,1,6757,481,2010-06-18,-135
-32602,1,203,481,2018-06-17,-569
-20464,1,477,470,2018-06-26,37
-17462,1,162,448,2014-06-14,14
-16542,1,212,482,2018-06-30,-256
-10471,1,6757,214,2018-06-17,-133
-9458,1,479,211,2018-06-16,-74
-8963,1,4469,660,2010-06-26,-157
-7601,1,466,475,2018-07-03,-319
-5890,1,627,656,2010-06-14,-205
-14754,1,212,448,2014-06-19,57
-5241,1,655,2620,2018-06-25,-184
-4016,1,455,4789,2014-06-24,255
-3847,1,4789,627,2014-06-15,183
-3777,1,471,627,2018-06-28,662
-3637,1,202,4789,2006-06-10,77
-2742,1,212,162,2014-06-24,43
-2683,1,478,211,2018-06-21,73
-1449,1,4469,6757,2010-06-13,-147
-628,1,628,6757,2010-06-23,-61
-122,1,451,4356,2006-06-13,108
-5635,1,478,482,2006-07-05,-1
2369,1,4789,446,2006-06-21,59
10322,2,205,477,2014-06-12,339
14814,2,475,451,2006-06-23,-29
16718,2,475,4356,2006-06-19,79
18540,2,478,657,2014-06-30,273
44033,2,164,215,2010-06-21,831
22661,2,478,4356,2006-06-23,180
23152,2,459,448,2018-07-14,247
23366,2,207,628,2014-06-13,500
25093,2,477,657,2018-06-16,327
9656,2,205,628,2006-06-18,215
21109,2,162,4469,2006-06-12,128
8774,2,481,466,2006-06-24,-13
-1151,2,210,2627,2006-06-20,49
7244,2,628,627,2006-06-12,-93
7820,2,202,203,2010-06-27,181
-29561,2,207,164,2014-06-18,-459
-25770,2,657,470,2018-06-22,-290
-17388,2,203,477,2014-06-23,-21
-28661,2,203,478,2010-06-17,-149
-6573,2,208,212,2014-06-28,-10
-1585,2,202,455,2010-06-22,112
-561,2,205,4789,2010-06-20,755
-57,2,203,469,2006-06-11,72
-16628,2,4469,450,2006-06-17,-172
8171,3,208,471,2018-06-24,-197
27369,3,481,209,2006-06-20,65
25223,3,459,2659,2018-06-18,727
23907,3,162,457,2006-06-30,119
16289,3,450,660,2006-06-12,16
5786,3,478,475,2014-06-20,-236
-16,3,212,454,2018-06-25,561
3312,3,475,215,2014-06-25,418
2870,3,209,214,2006-06-15,-52
-3835,3,449,205,2014-07-12,-261
-27467,3,208,627,2014-06-24,511
5262,3,202,451,2010-06-17,444
-48552,4,449,164,2014-06-13,-504
8474,4,481,482,2014-06-16,111
-6326,5,448,2659,2018-06-24,480
-1245,6,202,446,2006-06-16,136
64969,6,481,205,2014-07-08,58
