weight_chem_diff,goal_diff,team_1,team_2,date
0.3280583737446621,0,4469,628,2010-06-19
-0.020519999539981078,0,214,475,2018-06-27
0.3676820176986533,0,482,469,2018-06-25
0.41463804621827083,0,653,469,2006-06-21
0.41813406323552554,0,481,202,2006-06-30
0.42743091923844606,0,449,202,2006-06-21
0.6635309372697201,0,481,4469,2014-06-21
0.751146137023209,0,478,212,2010-06-11
0.24252329282654417,0,448,660,2010-06-12
-0.06331407889928452,0,475,215,2010-06-25
-0.12629406590270337,0,202,470,2018-06-16
-0.08426734782250693,0,207,205,2014-06-28
-0.08382044369720965,0,448,214,2014-06-24
-0.8151912069685789,0,210,162,2010-06-14
-0.8041681094518792,0,624,448,2010-06-18
-0.6178100343644632,0,469,657,2014-06-16
-0.5545340085440366,0,660,162,2006-06-17
-0.5515035758911856,0,624,454,2014-06-26
-0.4618966341087073,0,2666,162,2010-06-20
-0.40467101810380607,0,210,2666,2010-06-24
-0.369190020629666,0,627,477,2006-06-18
-0.321717265804889,0,451,454,2014-06-17
-0.2529157266886414,0,482,448,2006-07-01
-0.2485134640789695,0,482,164,2018-06-15
-0.43077904815623913,0,2869,164,2018-06-25
-0.24721251337476086,0,657,451,2010-06-22
-0.24582372786375584,0,210,627,2010-06-29
-0.22245718115336524,0,478,209,2014-06-25
-0.2212073302973342,0,482,4789,2010-06-15
-0.17748659825985788,0,457,475,2006-06-26
-0.1329886671090112,0,454,164,2018-07-01
-0.1230070669184579,0,654,627,2018-06-24
-0.12091884265316723,0,214,449,2014-07-05
-0.10044287788447387,0,214,455,2014-06-29
-0.24747073489870774,0,2627,466,2006-06-10
-0.08796862060921971,0,478,162,2006-07-09
0.3383219632327758,1,459,627,2018-07-02
0.3314712389837375,1,207,215,2010-06-16
0.2939964385311172,1,202,452,2014-06-15
0.2734664388221498,1,482,2869,2018-06-20
0.23842128128994292,1,449,4789,2006-06-16
0.13981703064279666,1,459,205,2018-07-06
0.18586234806640517,1,202,657,2018-06-26
0.17638791946572818,1,479,656,2010-06-19
0.11959043456552892,1,466,475,2018-07-03
0.35350923198498224,1,660,624,2010-06-23
0.236724957208575,1,482,4469,2014-06-26
0.361117393995641,1,202,203,2006-06-24
0.5793665315006911,1,164,469,2018-06-20
0.3864947435506054,1,202,657,2014-06-25
0.3905587657113055,1,660,4469,2014-06-16
0.45412034859862455,1,481,202,2014-07-13
0.4566488044257201,1,481,4469,2010-06-23
0.45768737536774406,1,471,214,2006-06-20
0.4619006575486837,1,203,656,2014-06-13
0.47252323845075206,1,481,478,2014-07-04
0.48538893069394784,1,162,628,2006-06-26
0.505529378042161,1,481,660,2014-06-26
0.5308089126099973,1,448,209,2006-06-25
0.10102439543233303,1,208,654,2018-06-28
0.6711971154343037,1,164,207,2010-06-25
0.6716048320679706,1,449,468,2010-06-28
0.38042769271942245,1,164,655,2006-06-23
0.0993296948406864,1,205,477,2006-06-13
0.16287817164518498,1,202,475,2014-07-01
0.07074575986381151,1,481,466,2018-06-23
0.08541657496037466,1,449,205,2010-07-02
-0.7363856583553695,1,6757,481,2010-06-18
-0.5580197110222057,1,214,162,2014-06-20
-0.45901110191576516,1,477,470,2018-06-26
-0.42605548341329924,1,627,656,2010-06-14
-0.39643964552583016,1,4469,660,2006-06-22
-0.3441916233312638,1,654,471,2018-06-19
-0.2564524021622687,1,4469,660,2010-06-26
-0.2369360818256776,1,203,481,2018-06-17
-0.1920805843305074,1,449,203,2014-06-29
-0.16551246515881948,1,459,660,2014-07-01
-0.14989850282544248,1,628,6757,2010-06-23
-0.14067997502982366,1,655,2620,2018-06-25
-0.22728450003604658,1,6757,214,2018-06-17
-0.1263595978695784,1,478,211,2018-06-21
0.06234519796921153,1,482,203,2006-06-21
-0.13517970436935062,1,212,482,2018-06-30
0.018867901048794596,1,457,659,2006-06-23
0.017211191998655877,1,202,459,2014-07-05
0.001657778231067944,1,471,627,2018-06-28
-0.004810683583345071,1,469,2869,2018-06-15
0.029119036978180243,1,208,4789,2014-06-19
-0.06262176739239331,1,4469,6757,2010-06-13
-0.10399467819596671,1,459,451,2014-06-26
-0.1102656659847196,1,479,211,2018-06-16
-0.12315095163569051,1,657,452,2014-06-21
-0.042713039757138506,1,209,215,2014-06-20
0.211014544462345,2,459,448,2018-07-14
0.8116775088599817,2,481,214,2006-06-09
0.69217504504967,2,164,215,2010-06-21
0.6246466291495992,2,482,469,2006-06-17
0.5903343000599236,2,448,2627,2006-06-15
0.4147548142370401,2,162,450,2006-06-22
0.31769418856167947,2,164,659,2006-06-19
0.2512361551767869,2,477,657,2018-06-16
0.2154617127291741,2,162,481,2006-07-04
0.17604975784933813,2,202,203,2010-06-27
-0.41999610057120224,2,214,212,2014-06-14
0.11107540365415976,2,205,4789,2010-06-20
0.04340598817760463,2,478,164,2006-06-27
0.01493397090599942,2,481,482,2006-07-08
-0.030449455746268818,2,449,207,2014-06-23
-0.28289463956556576,2,202,455,2010-06-22
-0.35136586935683356,2,657,470,2018-06-22
-0.3792779012336062,2,624,451,2014-06-22
-0.5059505530659588,2,209,471,2006-06-09
-0.5932926719971885,2,203,478,2010-06-17
0.14525000351961784,2,452,469,2014-06-25
0.6053841840933252,3,205,656,2014-06-23
0.5180523694250015,3,164,628,2014-06-23
0.5110914054704856,3,205,4469,2006-06-27
0.3404829225917638,3,459,2659,2018-06-18
0.2537048230106765,3,205,627,2006-06-22
-0.023935241378682966,3,212,454,2018-06-25
0.04885056642514922,3,208,471,2018-06-24
-0.021230572681960175,3,478,215,2014-06-15
-0.1941167672536875,3,208,455,2014-06-14
0.19989626797726867,3,202,451,2010-06-17
0.3857410304319925,4,477,656,2014-06-18
0.09996386591738832,4,457,655,2006-06-19
-0.012280909642256244,5,448,2659,2018-06-24
