chem_diff,goal_diff,team_1,team_2,date,rank_diff
-19580.20213,0,2666,162,2010-06-20,-774
-19351.09749,0,451,454,2014-06-17,-346
-18459.31899,0,627,477,2006-06-18,19
-17431.69503,0,469,657,2014-06-16,1
-16748.54273,0,454,164,2018-07-01,-669
-25990.54462,0,482,448,2006-07-01,9
-11288.3772,0,478,162,2006-07-09,21
-10570.73083,0,457,475,2006-06-26,-39
-10407.1709,0,482,4789,2010-06-15,393
-10385.50451,0,2627,466,2006-06-10,-105
-9171.007969,0,210,2666,2010-06-24,410
-9157.198024,0,202,470,2018-06-16,333
-8328.522935,0,657,451,2010-06-22,251
-8321.602218,0,207,205,2014-06-28,-216
-7088.169534,0,210,627,2010-06-29,138
-11914.50467,0,478,209,2014-06-25,122
-6538.083265,0,214,455,2014-06-29,-302
15226.13434,1,202,475,2014-07-01,26
14872.40165,1,449,4789,2006-06-16,99
14733.46775,1,459,205,2018-07-06,-133
14585.77474,1,482,4469,2014-06-26,485
13885.28841,1,471,214,2006-06-20,-6
10192.27163,1,202,657,2018-06-26,623
12048.13321,1,202,203,2006-06-24,-12
10623.00097,1,449,205,2010-07-02,-380
9591.326708,1,466,475,2018-07-03,-319
17326.13124,1,164,655,2006-06-23,105
12563.99277,1,660,624,2010-06-23,136
18522.74671,1,202,452,2014-06-15,302
75363.9503,1,481,478,2014-07-04,387
20501.84869,1,203,656,2014-06-13,324
22522.93367,1,482,2869,2018-06-20,588
25213.78705,1,481,4469,2010-06-23,282
31607.64691,1,459,627,2018-07-02,777
31639.99971,1,202,657,2014-06-25,535
37125.64466,1,448,209,2006-06-25,110
37330.40101,1,162,628,2006-06-26,116
45221.37658,1,449,468,2010-06-28,454
61486.52541,1,164,469,2018-06-20,418
70514.15577,1,481,202,2014-07-13,125
7349.287852,1,479,656,2010-06-19,-120
77129.68491,1,481,660,2014-06-26,265
79392.69894,1,164,207,2010-06-25,677
19608.00173,1,660,4469,2014-06-16,331
6685.759353,1,205,477,2006-06-13,141
10346.56003,1,207,215,2010-06-16,154
4909.629128,1,208,654,2018-06-28,148
6487.040839,1,481,466,2018-06-23,678
-55326.23673,1,214,162,2014-06-20,-342
-47017.857,1,6757,481,2010-06-18,-135
-25929.94554,1,477,470,2018-06-26,37
-22115.70144,1,203,481,2018-06-17,-569
-15943.38264,1,654,471,2018-06-19,-345
-14589.52317,1,6757,214,2018-06-17,-133
-14186.28676,1,449,203,2014-06-29,99
-13539.6308,1,4469,660,2010-06-26,-157
-11428.16058,1,212,482,2018-06-30,-256
-11362.00114,1,4469,660,2006-06-22,-156
-10005.57456,1,478,211,2018-06-21,73
-8542.977977,1,479,211,2018-06-16,-74
-13352.81264,1,459,660,2014-07-01,39
-6463.342129,1,627,656,2010-06-14,-205
2514.359725,1,482,203,2006-06-21,-8
-8477.081902,1,655,2620,2018-06-25,-184
1368.543995,1,202,459,2014-07-05,101
812.2542618,1,457,659,2006-06-23,-84
66.6284587,1,471,627,2018-06-28,662
-231.9578406,1,469,2869,2018-06-15,22
1438.176936,1,208,4789,2014-06-19,328
-2791.807404,1,209,215,2014-06-20,60
-2816.824638,1,628,6757,2010-06-23,-61
-3786.567007,1,459,451,2014-06-26,527
-5810.263668,1,657,452,2014-06-21,-233
-961.5231295,1,4469,6757,2010-06-13,-147
12961.32358,2,477,657,2018-06-16,327
61649.83098,2,164,215,2010-06-21,831
47529.37103,2,448,2627,2006-06-15,137
43021.85859,2,162,450,2006-06-22,-44
30301.97937,2,482,469,2006-06-17,64
29953.4106,2,481,214,2006-06-09,13
23180.5484,2,162,481,2006-07-04,32
21726.98101,2,459,448,2018-07-14,247
15848.34355,2,164,659,2006-06-19,63
9564.937829,2,205,4789,2010-06-20,755
-19490.73696,2,657,470,2018-06-22,-290
5091.916791,2,452,469,2014-06-25,232
3778.278433,2,478,164,2006-06-27,-7
1143.041868,2,481,482,2006-07-08,-54
-2154.508777,2,449,207,2014-06-23,-45
-9345.585049,2,202,455,2010-06-22,112
-13550.56776,2,624,451,2014-06-22,311
-14096.68529,2,209,471,2006-06-09,-46
-25159.50386,2,214,212,2014-06-14,-385
-37487.17006,2,203,478,2010-06-17,-149
8629.865429,2,202,203,2010-06-27,181
42944.16919,3,205,656,2014-06-23,684
31587.27004,3,205,4469,2006-06-27,227
30339.52634,3,164,628,2014-06-23,959
26418.96716,3,459,2659,2018-06-18,727
8387.306481,3,205,627,2006-06-22,122
-1336.710744,3,478,215,2014-06-15,182
1992.731057,3,208,471,2018-06-24,-197
-1238.85617,3,212,454,2018-06-25,561
-10167.03684,3,208,455,2014-06-14,73
8346.803708,3,202,451,2010-06-17,444
19086.81154,4,477,656,2014-06-18,345
3168.105883,4,457,655,2006-06-19,-42
-719.2615197,5,448,2659,2018-06-24,480
