chem_diff,goal_diff,team_1,team_2,date
31965.758918651896,0,481,202,2006-06-30
35913.571529040695,0,478,212,2010-06-11
83219.89328346438,0,481,4469,2014-06-21
12045.527426061974,0,653,469,2006-06-21
-1988.8737475930575,0,475,215,2010-06-25
-8712.568444626537,0,214,449,2014-07-05
-5544.517670234607,0,654,627,2018-06-24
-3157.6956522082874,0,448,214,2014-06-24
-52084.01033205351,0,624,448,2010-06-18
-51612.51318903175,0,2869,164,2018-06-25
-38360.94959098019,0,210,162,2010-06-14
-36604.69257911561,0,660,162,2006-06-17
-34240.767743491495,0,624,454,2014-06-26
-30710.685273549774,0,482,164,2018-06-15
-19580.202129499485,0,2666,162,2010-06-20
-19351.09749306093,0,451,454,2014-06-17
-18459.318992948363,0,627,477,2006-06-18
-17431.695028297774,0,469,657,2014-06-16
-16748.542732281625,0,454,164,2018-07-01
-25990.54462333097,0,482,448,2006-07-01
-11288.377197711692,0,478,162,2006-07-09
-10570.730831415163,0,457,475,2006-06-26
-10407.170900285131,0,482,4789,2010-06-15
-10385.504510287468,0,2627,466,2006-06-10
-9171.007969246772,0,210,2666,2010-06-24
-9157.198023655954,0,202,470,2018-06-16
-8328.522934771307,0,657,451,2010-06-22
-8321.602217691645,0,207,205,2014-06-28
-7088.169533779223,0,210,627,2010-06-29
-11914.504674537144,0,478,209,2014-06-25
-6538.083265164412,0,214,455,2014-06-29
15226.134337558353,1,202,475,2014-07-01
14872.401649789339,1,449,4789,2006-06-16
14733.46774963758,1,459,205,2018-07-06
14585.774739156379,1,482,4469,2014-06-26
13885.288408183558,1,471,214,2006-06-20
10192.271625472895,1,202,657,2018-06-26
12048.13320866634,1,202,203,2006-06-24
10623.000969333472,1,449,205,2010-07-02
9591.326708383924,1,466,475,2018-07-03
17326.13123833009,1,164,655,2006-06-23
12563.992771271256,1,660,624,2010-06-23
18522.746708791226,1,202,452,2014-06-15
75363.9503031904,1,481,478,2014-07-04
20501.84868649205,1,203,656,2014-06-13
22522.93367149509,1,482,2869,2018-06-20
25213.78704636048,1,481,4469,2010-06-23
