chem_diff,goal_diff,team_1,team_2,date
-16542,1,212,482,2018-06-30
-10471,1,6757,214,2018-06-17
-9458,1,479,211,2018-06-16
-8963,1,4469,660,2010-06-26
-7601,1,466,475,2018-07-03
-5890,1,627,656,2010-06-14
-14754,1,212,448,2014-06-19
-5241,1,655,2620,2018-06-25
-4016,1,455,4789,2014-06-24
-3847,1,4789,627,2014-06-15
-3777,1,471,627,2018-06-28
-3637,1,202,4789,2006-06-10
-2742,1,212,162,2014-06-24
-2683,1,478,211,2018-06-21
-1449,1,4469,6757,2010-06-13
-628,1,628,6757,2010-06-23
-122,1,451,4356,2006-06-13
-5635,1,478,482,2006-07-05
2369,1,4789,446,2006-06-21
10322,2,205,477,2014-06-12
14814,2,475,451,2006-06-23
16718,2,475,4356,2006-06-19
18540,2,478,657,2014-06-30
44033,2,164,215,2010-06-21
22661,2,478,4356,2006-06-23
23152,2,459,448,2018-07-14
23366,2,207,628,2014-06-13
25093,2,477,657,2018-06-16
9656,2,205,628,2006-06-18
21109,2,162,4469,2006-06-12
8774,2,481,466,2006-06-24
-1151,2,210,2627,2006-06-20
7244,2,628,627,2006-06-12
7820,2,202,203,2010-06-27
-29561,2,207,164,2014-06-18
-25770,2,657,470,2018-06-22
-17388,2,203,477,2014-06-23
-28661,2,203,478,2010-06-17
-6573,2,208,212,2014-06-28
-1585,2,202,455,2010-06-22
-561,2,205,4789,2010-06-20
-57,2,203,469,2006-06-11
-16628,2,4469,450,2006-06-17
8171,3,208,471,2018-06-24
27369,3,481,209,2006-06-20
25223,3,459,2659,2018-06-18
23907,3,162,457,2006-06-30
16289,3,450,660,2006-06-12
5786,3,478,475,2014-06-20
-16,3,212,454,2018-06-25
3312,3,475,215,2014-06-25
2870,3,209,214,2006-06-15
-3835,3,449,205,2014-07-12
-27467,3,208,627,2014-06-24
5262,3,202,451,2010-06-17
-48552,4,449,164,2014-06-13
8474,4,481,482,2014-06-16
-6326,5,448,2659,2018-06-24
-1245,6,202,446,2006-06-16
64969,6,481,205,2014-07-08
