weight_chem_diff,goal_diff,team_1,team_2,date,rank_diff
-0.8041681095,0,624,448,2010-06-18,-247
-0.6178100344,0,469,657,2014-06-16,1
-0.5545340085,0,660,162,2006-06-17,28
-0.5515035759,0,624,454,2014-06-26,-35
-0.4618966341,0,2666,162,2010-06-20,-774
-0.4046710181,0,210,2666,2010-06-24,410
-0.3691900206,0,627,477,2006-06-18,19
-0.3217172658,0,451,454,2014-06-17,-346
-0.2529157267,0,482,448,2006-07-01,9
-0.2485134641,0,482,164,2018-06-15,148
-0.4307790482,0,2869,164,2018-06-25,-440
-0.2472125134,0,657,451,2010-06-22,251
-0.2458237279,0,210,627,2010-06-29,138
-0.2224571812,0,478,209,2014-06-25,122
-0.2212073303,0,482,4789,2010-06-15,393
-0.1774865983,0,457,475,2006-06-26,-39
-0.1329886671,0,454,164,2018-07-01,-669
-0.1230070669,0,654,627,2018-06-24,317
-0.1209188427,0,214,449,2014-07-05,-219
-0.1004428779,0,214,455,2014-06-29,-302
-0.2474707349,0,2627,466,2006-06-10,-105
-0.08796862061,0,478,162,2006-07-09,21
0.3383219632,1,459,627,2018-07-02,777
0.331471239,1,207,215,2010-06-16,154
0.2939964385,1,202,452,2014-06-15,302
0.2734664388,1,482,2869,2018-06-20,588
0.2384212813,1,449,4789,2006-06-16,99
0.1398170306,1,459,205,2018-07-06,-133
0.1858623481,1,202,657,2018-06-26,623
0.1763879195,1,479,656,2010-06-19,-120
0.1195904346,1,466,475,2018-07-03,-319
0.353509232,1,660,624,2010-06-23,136
0.2367249572,1,482,4469,2014-06-26,485
0.361117394,1,202,203,2006-06-24,-12
0.5793665315,1,164,469,2018-06-20,418
0.3864947436,1,202,657,2014-06-25,535
0.3905587657,1,660,4469,2014-06-16,331
0.4541203486,1,481,202,2014-07-13,125
0.4566488044,1,481,4469,2010-06-23,282
0.4576873754,1,471,214,2006-06-20,-6
0.4619006575,1,203,656,2014-06-13,324
0.4725232385,1,481,478,2014-07-04,387
0.4853889307,1,162,628,2006-06-26,116
0.505529378,1,481,660,2014-06-26,265
0.5308089126,1,448,209,2006-06-25,110
0.1010243954,1,208,654,2018-06-28,148
0.6711971154,1,164,207,2010-06-25,677
