chem_diff,probability_of_winning,probability_of_not_loosing
-6962.700963216963,0.14285714285714285,0.2857142857142857
-22909.005698970577,0.25,0.40625
-43706.78110799337,0.34328358208955223,0.5522388059701493
-19086.811537779577,0.5,0.7741935483870968
-3168.105882917651,0.8333333333333334,0.8333333333333334
