chem_diff,probability_of_winning,probability_of_not_loosing
-10246,0.07692307692307693,0.38461538461538464
-13468,0.2647058823529412,0.4411764705882353
-31327,0.31666666666666665,0.525
-28934,0.5373134328358209,0.7761194029850746
-5275,0.8571428571428571,0.8571428571428571
