dim_chem_diff_bin_min,dim_chem_diff_bin_max,probability_of_winning,probability_of_not_loosing
-95537.27415486507,-60537.27415486507,0.14285714285714285,0.2857142857142857
-60537.27415486507,-25537.274154865067,0.25,0.40625
-25537.274154865067,9462.725845134933,0.34328358208955223,0.5522388059701493
9462.725845134933,44462.72584513493,0.5,0.7741935483870968
44462.72584513493,79462.72584513493,0.8333333333333334,0.8333333333333334
