chem_diff_bin_min,chem_diff_bin_max,probability_of_winning,probability_of_not_loosing
-67448,-42448,0.07692307692307693,0.38461538461538464
-42448,-17448,0.2647058823529412,0.4411764705882353
-17448,7552,0.31666666666666665,0.525
7552,32552,0.5373134328358209,0.7761194029850746
32552,57552,0.8571428571428571,0.8571428571428571
